passage,species1_form,species2_form,interaction_form,triplet_key,doc_id,field
"Our findings were (1) patients develop amnesia when infarctions are located anteriorly; (2) in patients with amnesia, the lesions can be small and strategically located, probably interfering with both hippocampal-related neural structures such as the mamillothalamic tract, and amygdala-related neural structures such as the ventroamygdalofugal pathway; and (3) a specific component of the latter is situated lateral but immediately adjacent to the mamillothalamic tract in the monkey, enabling both structures to be damaged bilaterally by small mirror image lesions.",amnesia,amygdala,adjacent to,ott:4608103;ott:4966632;RO_e000027,2302527,abstract
"These non-specialized populations show a dual defensive strategy, which corresponds to the ancestral state of this species, while populations that fully depend on host-derived toxins (feeding on SG-rich willows) or have lost the ability to produce salicylaldehyde (feeding on birches) are most deviant from the ancestral state.",willows,birches,feeding on,ott:458856;ott:267715;RO_e000007,25804685,abstract
"When Caryophanon latum was exposed to egg white lysozyme in isotonic sucrose and observed by phase-contrast microscopy, protoplasts emerged along the length of the trichomes, apparently at sites corresponding to cross septa.",Caryophanon latum,septa,exposed to,ott:395780;ott:4968725;RO_e000044,803400,abstract
"Effect of temperatures and cold storage on performance of Tetrastichus brontispae (Hymenoptera: Eulophidae), a parasitoid of Brontispa longissima (Coleptera: Chrysomelidae).",Tetrastichus brontispae,Brontispa longissima,parasitoid of,ott:7395599;ott:334959;RO_0002208,25527575,title
"OBJECTIVE The aim of this study was to investigate the prevalence of Pediculus humanus (P.h.) capitis infestation in school children in Sücüllü Village, Isparta.",Pediculus humanus,Isparta,infestation,ott:1034004;ott:7949294;RO_e000005,29966994,abstract
"Association of ticks with prey identified on scats, resulted in new data for Portugal on host-tick interactions [e.g. Ixodes acuminatus (Neumann, 1901) and wood mouse] and tick distribution pattern.",scats,Ixodes acuminatus,prey,ott:512784;ott:7100519;RO_0002458,18040872,abstract
"We present a spatial model for the mean and correlation of highly dispersed count data, and apply it to individual-level counts of the nematode Wuchereria bancrofti, a parasite of humans which causes the disease lymphatic filariasis.",Wuchereria bancrofti,humans,parasite of,ott:245091;ott:770309;RO_0002444,12933567,abstract
Synchrotron XRF Analysis Identifies Cerium Accumulation Colocalized with Pharyngeal Deformities in CeO2 NP-Exposed Caenorhabditis elegans.,Cerium,Caenorhabditis elegans,Colocalized with,ott:5326830;ott:395048;RO_0002325,35378039,title
"On datura and tobacco, the best inhibition of tumor formation was obtained when the agrocinogenic strains were applied to wounds 24 h before the pathogens and by the concomitant application of agrocin producer and pathogen at cell ratios of 10:1 or 3:1; inhibition of infection tended to decrease progressively as the cell ratio decreased from 10:1 to 3:1 to 1:1.",datura,tobacco,pathogens,ott:655485;ott:222787;RO_0002556,16347122,abstract
"The mass emergence of floodwater mosquitoes, in particular Aedes sticticus and Aedes vexans, causes substantial nuisance and reduces life quality for inhabitants of infested areas and can have a negative impact on the socio-economic conditions of a region.",Aedes sticticus,Aedes vexans,infested,ott:850082;ott:793178;RO_e000005,20836814,abstract
"In the rain-forest areas, where onchocerciasis is transmitted by Simulium yahense, S. sanctipauli, S. soubrense and S. squamosum, there were no significant differences of microfilarial staining patterns in patients, by age and sex, between the three Simulium-Onchocerca complexes studied.",Simulium yahense,Onchocerca,transmitted by,ott:106276;ott:819808;RO_0002451,6186410,abstract
"The cpr5 plants were found to be constitutively resistant to two virulent pathogens, Pseudomonas syringae pv maculicola ES4326 and Peronospora parasitica Noco2; to have endogenous expression of the pathogenesis-related gene 1 (PR-1); and to have an elevated level of salicylic acid (SA).",Pseudomonas syringae pv maculicola,Peronospora,pathogens,ott:989787;ott:993569;RO_0002556,9338960,abstract
"With these results, future research efforts aimed at enhancing mutual interactions between soybeans and honey bees may represent an unexplored pathway for increasing soybean production while supporting honey bees and other pollinators in the surrounding landscape.",soybeans,honey bees,pollinators,ott:681762;ott:849856;RO_0002455,36130184,abstract
Efficacy of Lophira alata Leaf Extract and its Combination with Artesunate in Mice Prior Exposed to Plasmodium berghei.,Lophira alata,Plasmodium berghei,Exposed to,ott:5750805;ott:724398;RO_e000044,29190855,title
"The compound was inactive against herpes simplex virus type 2, cytomegalovirus, and thymidine kinase (TK)-deficient mutants of HSV-1 and VZV, which indicates that, most likely, its antiviral activity depends on phosphorylation by the virus-specified TK.",herpes simplex virus type 2,cytomegalovirus,depends on,ncbitaxon_viruses:10310;ncbitaxon_viruses:10358;RO_0002502,2061920,abstract
The gray wolf (Canis lupus) was found to be a new natural definitive host for Neospora caninum.,gray wolf,Neospora caninum,host for,ott:247341;ott:936407;RO_0002453,21640485,abstract
"In the present investigation, a Galactose-Rich Heteropolysaccharide (GRH) with a molecular weight of 2.98 × 105 Da was isolated from endophytic Mucor sp. HELF2, a symbiont of the East Indian screw tree Helicteres isora.",Mucor sp,Helicteres isora,symbiont of,ott:5660982;ott:3942803;RO_0002440,36777025,abstract
CONCLUSION The study results indicate a distinct inhibition of influenza A virus replication by thyme and pelargonium extract which might contribute to the beneficial effects of these plant extracts on acute respiratory infections symptoms.,thyme,pelargonium,contribute to,ott:907458;ott:372825;RO_0002326,33357221,abstract
"We investigated three fundamental morphological and locomotor traits in a Neotropical mimicry ring based on Ithomiini butterflies and parasitized by Polythoridae damselflies: wing color, wing shape, and flight style.",Ithomiini,Polythoridae,parasitized by,ott:809131;ott:108178;RO_0002445,27241010,abstract
"Mysids, particularly Lophogaster typicus (%IPSRI = 34·51), were the main prey items of immature individuals, replaced by euphausiids, mainly Meganyctiphanes norvegica (%IPSRI = 13·19), in maturing fish.",Lophogaster typicus,Meganyctiphanes norvegica,prey,ott:662323;ott:151806;RO_0002458,25557426,abstract
A new study published in The EMBO Journal demonstrates that human cortical interneurons that are moving in fused brain organoids express a large repertoire of neurotransmitter receptors whose activation fine tunes selective migration strategies.,human,tunes,migration,ott:770315;ott:4222248;RO_e000046,34751964,abstract
"Further studies are needed to explore the role of Atlantic salmon CXCL9-11 chemokines in regulating immune cell migration and endothelial activation, as seen in mammals.",Atlantic salmon,mammals,migration,ott:688328;ott:244265;RO_e000046,39301034,abstract
This is the third record of laophontid harpacticoid copepods living in symbiosis with sea cucumbers recorded from the Korean and Californian coasts.,copepods,sea cucumbers,symbiosis,ott:461528;ott:699706;RO_0002440,29915699,abstract
"We established a baseline model with Salmonella contamination data from 2010 to 2013 surveys of walnuts from California operations to estimate baseline prevalence and levels of Salmonella during preshelling storage and typical walnut processing stages, considered U.S.",Salmonella,walnuts,contamination,ott:3308;ott:1072884;RO_e000002,30586329,abstract
"The fruticose lichen Flavocetraria nivalis and the crustose lichen Ophioparma ventosa, both common in light-exposed arctic-alpine environments, were exposed to ultraviolet radiation (UVR) in growth chambers for 30 days.",Flavocetraria nivalis,Ophioparma ventosa,exposed to,ott:516187;ott:9676;RO_e000044,12665305,abstract
"Of the ectoparasites, Columbicola columbae and Campanulotes bidentatus compar were found.",Columbicola columbae,Campanulotes bidentatus compar,ectoparasites,ott:97828;ott:365137;RO_0002632,15168753,abstract
"Ileal and total tract nutrient digestibilities and fecal characteristics of dogs as affected by soybean protein inclusion in dry, extruded diets.",dogs,soybean,affected by,ott:247333;ott:681762;RO_e000056,11424690,title
"One Toll-like gene each was identified from Aedes aegypti and Glossina palpalis palpalis, vectors for yellow fever and trypanosomiasis, respectively.",Aedes aegypti,Glossina palpalis palpalis,vectors for,ott:269666;ott:455683;RO_0002459,10663571,abstract
"Alveolar echinococcosis (AE) is caused by Echinococcus multilocularis, affecting dogs as accidental intermediate hosts.",Echinococcus multilocularis,dogs,affecting,ott:481593;ott:247333;RO_e000055,38282566,abstract
"Equine gastric impaction, ulceration, and perforation due to persimmon (Diospyros virginiana) ingestion.",Equine,Diospyros virginiana,ingestion,ott:1068218;ott:525019;RO_e000009,9249173,title
"For nine meal types of equivalent size (5% of body mass), the digestion of hard-bodied prey (crickets, superworms, mealworms, beetles) generated larger SDA responses than the digestion of soft-bodied prey (redworms, beetle larvae).",crickets,beetles,prey,ott:1095585;ott:865243;RO_0002458,16826498,abstract
"Phytophthora sojae, one of the most devastating Oomycete pathogens, causes severe diseases that lead to economic loss in the soybean industry.",Phytophthora sojae,soybean,pathogens,ott:740156;ott:681762;RO_0002556,37952706,abstract
"Pseudomonas aeruginosa was detected in 95 (59%) of 161 samples; detection indicates contamination from the environment (e.g., dirt), swimmers, or fomites (e.g., kickboards).",Pseudomonas aeruginosa,fomites,contamination,ott:216671;ott:4115678;RO_e000002,23677046,abstract
The mechanism of arbuscular mycorrhizal enhancing cadmium uptake in Phragmites australis depends on the phosphorus concentration.,Phragmites australis,phosphorus,depends on,ott:712330;ott:3382381;RO_0002502,36027745,title
"Papillae are also absent from the ventral surface of the haptor of the gill-parasitic entobdelline Branchobdella pugetensis, a gill parasite of the pleuronectid Atheresthes stomias.",Branchobdella pugetensis,Atheresthes stomias,parasite of,ott:4711099;ott:786093;RO_0002444,26204173,abstract
"We performed in vivo experiments in which honey bees, deprived of or colonized with their native microbiota, were exposed to nectar-relevant concentrations of caffeine for a week, then challenged with the bacterial pathogen Serratia marcescens.",honey bees,Serratia marcescens,exposed to,ott:849856;ott:433461;RO_e000044,37212661,abstract
Global transcriptomic response of Listeria monocytogenes exposed to Fingered Citron (Citrus medica L. var.,Listeria monocytogenes,Citron,exposed to,ott:1038312;ott:798604;RO_e000044,33992374,title
Cell migration from the thymus to other lymphoid organs in hamsters of different ages.,thymus,hamsters,migration,ott:3320979;ott:917323;RO_e000046,5654966,title
"In terms of knowledge gaps, only 60.7% of the participants knew that there was an FDA-approved vaccine for mpox, 49.0% of participants knew about mpox proctitis and 33.3% acknowledged that it could be transmitted by the bite of an infected rodent.",mpox,rodent,transmitted by,ncbitaxon_viruses:10244;ott:864593;RO_0002451,36680012,abstract
"In this study, a black vulture (Aegypius monachus) found wounded on Türkmen Mountain, between Eskisehir and Kütahya, was inspected for ectoparasites.",vulture,Aegypius monachus,ectoparasites,ott:363020;ott:786449;RO_0002632,18645948,abstract
"Whereas stimulation of eNOS activity by EGCG was only slightly affected by pretreatment of cells with various ROS scavengers, TF3(theaflavin-3',3-digallate)-induced eNOS activity was partially inhibited by PEG-catalase.",eNOS,scavengers,affected by,ott:7151386;ott:563254;RO_e000056,19101751,abstract
"Trophic position (TP) computed from crayfish δ¹⁵N was lower in hog suckers (mean=2.8) than in smallmouth (mean=3.2), but not at all sites.",crayfish,suckers,Trophic,ott:79861;ott:429113;RO_0002438,21868094,abstract
"Previous pilot investigations of the uses of primary cell cultures to study late damage in stem cells of the skin of the New Zealand white (NZW) rabbit and the rhesus monkey, have been extended to individual monkeys exposed to 55 MeV protons.",rabbit,rhesus monkey,exposed to,ott:864596;ott:689650;RO_e000044,11537224,abstract
Salmonella enterica is one of the most common human pathogens associated with fresh produce outbreaks.,Salmonella enterica,human,pathogens,ott:338023;ott:770315;RO_0002556,36081768,abstract
"Here, we demonstrate that when A. franciscana is administrated with L. lactis at 108 CFU mL-1 for 8 h, the highest relative percentage of survival (RPS = 50.0) is observed after inoculation with Edwardsiella sp. The total counts of L. lactis entrapped in Artemia were the highest (ranged from 3.2 to 5.1 × 108 CFU mL-1), when 108-109 CFU mL-1 of L. lactis was used as starting inoculum, with the bioencapsulation performed within 8-24 h. Fluorescent microscopy showed gfp-transformed L. lactis colonized the external trunk surfaces, mid-gut and locomotion antennules of the A. franciscana nauplii. These illustrations elucidate the efficiency of colonization of L. lactis in the gastrointestinal tract and on the body surfaces of Artemia.",Edwardsiella sp,Artemia,colonized,ott:5998937;ott:59091;RO_e000053,29654379,abstract
[Occurrence of bacterial pathogens in pathologic anatomically changed lungs of swine with special reference to the genus Hemophilus.,swine,Hemophilus,pathogens,ott:730013;ott:470454;RO_0002556,7168748,title
"AIM To investigate the in vivo anti-tumor effects of total polysaccharide (AP-0) isolated from Angelica sinensis (Oliv.) Diels (Danggui) on mice and the in vitro inhibitory effects of AP-0 and the sub-constituents (AP-1, AP-2 and AP-3) separated from AP-0 on invasion and metastasis of human hepatocellular carcinoma.",Angelica sinensis,human,invasion,ott:182228;ott:770315;RO_e000045,12970885,abstract
Liver fluke (Fasciola hepatica) is a common parasite amongst grazing livestock in the south-eastern region of Australia and is responsible for significant production losses in the beef and dairy industries.,Fasciola hepatica,Australia,grazing,ott:194953;ott:5322824;RO_e000013,25771931,abstract
We test the hypothesis that shift to living in ant nests and feeding on ant brood by larvae of phyto-predaceous Lepidochrysops butterflies was an adaptive response to the aridification of Africa that facilitated the subsequent radiation of butterflies in this genus.,phyto,Lepidochrysops,feeding on,ott:21720;ott:631608;RO_e000007,37193112,abstract
Targeting the gut microbiome to regulate GABA production may open new insights for efficient constipation treatment.,gut microbiome,GABA,regulate,ott:5913620;ott:4537853;RO_0002211,39619641,abstract
"In North-Eastern Macedonia, several rivers (e.g., Zletovska, Kriva) are exposed to acid mine drainage from active Pb/Zn mines.",Macedonia,mines,exposed to,ott:126439;ott:444090;RO_e000044,30708319,abstract
The present study suggests that both aquatic and terrestrial mollusks represent interesting hosts for the discovery of novel Tetrahymena lineages.,mollusks,Tetrahymena,hosts for,ott:802117;ott:8001918;RO_0002453,33851248,abstract
"Up to now in Tunisia, freshwater Hirudinida are represented by two mainly haematophagous families: Hirudinidae and Glossiphonidae, and a predatory one: the family Erpobdellidae.",Hirudinidae,Erpobdellidae,predatory,ott:870772;ott:737593;RO_0002439,25232620,abstract
Turgida turgida is a common parasite of the stomach of the American opossum in Florida.,Turgida turgida,opossum,parasite of,ott:4990111;ott:835327;RO_0002444,7131652,abstract
"Klebsiella pneumoniae and Candida species were the most common pathogens of EE in the Korean and the American patients, respectively.",Klebsiella pneumoniae,Candida,pathogens of,ott:443477;ott:1034970;RO_0002556,27459423,abstract
"Here, we focus on recent findings concerning this crucial Ca2+ -dependent signalling step for endosymbiotic associations involving either arbuscular mycorrhizal fungi or nitrogen-fixing Frankia actinomycetes, and in particular how this knowledge is contributing to the identification of the respective microbial factors.",fungi,Frankia,contributing to,ott:352914;ott:7635273;RO_0002326,27918078,abstract
Both phytoplasma belong to the ribosomal group 16Sr-X and are naturally transmitted by different species of Cacopsylla spp.,phytoplasma,Cacopsylla,transmitted by,ott:820498;ott:205311;RO_0002451,30708863,abstract
"The dominating pathogens were influenza A and B, rotavirus and varicella zoster virus.",rotavirus,varicella zoster virus,pathogens,ncbitaxon_viruses:10912;ncbitaxon_viruses:10335;RO_0002556,28094831,abstract
[The invasion route of the metacyclical larvae of Litomosoides carinii Chandler 1931 (Filariidae)].,Litomosoides carinii,Filariidae,invasion,ott:245086;ott:3592184;RO_e000045,5597703,title
"Pathogenesis of the disease is related to chronic sepsis-like state produced by the persistence of parasitizing hemotropic-tissue Chlamydiaceae-like fungi in blood and tissue cells, sensitization to them, impairments of small and medium size vessels by immunocomplex type, and delayed hypersensitivity in tissues.",Chlamydiaceae,fungi,parasitizing,ott:863359;ott:352914;RO_0002445,2615294,abstract
Exophiala dermatitidis is one of the prevalent black yeasts found as opportunistic pathogens or colonizers in humans.,Exophiala dermatitidis,humans,pathogens,ott:129117;ott:770309;RO_0002556,21944216,abstract
OBJECTIVES Cytomegalovirus (CMV) infection has been suggested to accelerate beta-cell destruction and thereby to contribute to new-onset diabetes and failure of islet allografts in both humans and rodents.,Cytomegalovirus,humans,contribute to,ncbitaxon_viruses:10358;ott:770309;RO_0002326,19770783,abstract
Astaxanthin is the major carotenoid in tissues of white storks (Ciconia ciconia) feeding on introduced crayfish (Procambarus clarkii).,Ciconia ciconia,Procambarus clarkii,feeding on,ott:363031;ott:79864;RO_e000007,11007176,title
"Many of the data supporting a role for hafniae as enteric pathogens were incorrectly attributed to this genus rather than to the actual pathogen, Escherichia albertii. There are numerous gaps in our understanding of this genus, including ecologic habitats and population genetics, disease-producing role in animals, phenetic and genetic methods useful in distinguishing genomospecies within the H. alvei complex, and bona fide pathogenicity factors.",Escherichia albertii,bona,pathogens,ott:5251868;ott:539539;RO_0002556,16418520,abstract
"These contamination levels may be less harmful to polecats (Mustela putorius), but more so to otters (Lutra lutra) as their diets are dominated by aquatic prey.",Mustela putorius,Lutra lutra,contamination,ott:923126;ott:348036;RO_e000002,12656245,abstract
"Roots of P. sylvestris were colonized by Rhizopogon roseolus, Tuber sp. 1 and an unknown species of Pezizales.",Rhizopogon roseolus,Tuber sp,colonized by,ott:760984;ott:7521276;RO_e000054,20304781,abstract
"The assay for macrophage migration inhibitory factor (MIF) was also relatively nonspecific, in that inhibition occurred with cells from animals sensitized with Histoplasma or Coccidioides using both homologous and heterologous antigens.",Histoplasma,Coccidioides,migration,ott:4062027;ott:4062081;RO_e000046,7412854,abstract
Comparison of infectivity of Plasmodium vivax to wild-caught and laboratory-adapted (colonized) Anopheles arabiensis mosquitoes in Ethiopia.,Plasmodium vivax,Anopheles arabiensis,colonized,ott:352295;ott:218728;RO_e000053,32143713,title
"Almost complete 16S rRNA sequences phylogenetically placed the symbiont into a clade comprising Buchnera and other insect endosymbionts, but sequence similarities to these closest relatives were surprisingly low (83.4-87.4%).",Buchnera,endosymbionts,symbiont,ott:805459;ott:5248883;RO_0002440,27713733,abstract
"It is thought to be a potential reservoir host of Tacaribe virus, an arenavirus closely related to the South American hemorrhagic fever viruses.",Tacaribe virus,arenavirus,reservoir host of,ncbitaxon_viruses:3052328;ncbitaxon_viruses:11618;RO_0002802,23166587,abstract
Effectiveness and competitive trade-offs of microcolony formation were revealed by a competition experiment with the bacterium Pseudomonas putida MM1: Pseudomonas sp. CM10 was displaced in predator-free cultures but outgrew the defenseless and monomorphic competitor under flagellate grazing pressure.,Pseudomonas putida,Pseudomonas sp. CM10,grazing,ott:619502;ott:1027098;RO_e000013,19709184,abstract
"In contrast, on the plant diet (shredded sweet potato), bandicoots ate only one-third as much digestible energy, lost 7% body mass, and were in negative nitrogen balance.",sweet potato,bandicoots,ate,ott:1071040;ott:683254;RO_0002471,7884066,abstract
The present study also demonstrates that two distinct species of the genus Taphrina parasitize the herbaceous Rosaceae: Taphrina gei-montani sp. nov.,Rosaceae,Taphrina gei-montani,parasitize,ott:208036;ott:5977157;RO_0002445,27098204,abstract
AIMS To show that application of copper hydroxide citrus sprays mixed with field source water (possibly contaminated) will not support Escherichia coli on plant surfaces.,citrus,Escherichia coli,contaminated,ott:929678;ott:474506;RO_e000001,22098250,abstract
This species was reared from a caterpillar of Hypercompe brasiliensis collected after feeding on a Gloxinia perennis plant important to floriculture.,Hypercompe brasiliensis,Gloxinia perennis,feeding on,ott:3179558;ott:692418;RO_e000007,38839661,abstract
"The objective of this research was to study infestation parameters and indexes of ectoparasites associated with each sex of the wild rodents Oligoryzomys flavescens (Waterhouse) andAkodon azarae (Fischer) in the Punta Lara wetlands, Argentina.",Oligoryzomys flavescens,Lara,infestation,ott:558735;ott:5098998;RO_e000005,21120393,abstract
"hydrophila) is an opportunistic pathogen of fish-human-livestock, which poses a threat to the development of aquaculture.",hydrophila,human,pathogen of,ott:5325237;ott:770315;RO_0002556,34968644,abstract
"Parasites of the mutton snapper Lutjanus analis (Perciformes: Lutjanidae) in Alagoas, Brazil.",mutton snapper,Perciformes,Parasites of,ott:943196;ott:811928;RO_0002444,25054505,title
"In this study, zebrafish embryos were exposed to 1.0, 5.0, 10 and 20 mg/L of PRX from 4 to 120-hour-post-fertilization (hpf), and it showed that PRX exposure caused adverse effects in zebrafish embryos, including decreased body length, blood flow velocity, cardiac frequency, cardiac output and increased burst activity and atria area.",zebrafish,atria,exposed to,ott:1005914;ott:3662145;RO_e000044,37269614,abstract
"In addition, the toxicological safety of water contaminated with these drugs after treatment with L. minor plants to photosynthetic microorganisms (Synechococcus elongatus and Chlorococcum infusionum) was evaluated.",Synechococcus elongatus,Chlorococcum infusionum,contaminated,ott:114641;ott:5293036;RO_e000001,37080511,abstract
Model pathogens (Escherichia coli ATCC 25922 and Staphylococcus epidermidis ATCC 14990) were incubated with clays from different alteration zones of the hydrothermal deposit.,Escherichia coli ATCC 25922,Staphylococcus epidermidis,pathogens,ott:4787941;ott:1090531;RO_0002556,24258612,abstract
METHODS AND RESULTS Wistar rats underwent ischaemia/reperfusion injury by ligation of the coronary artery followed by injection of adenovirus vectors for D1NLS and CDK4 with or without Skp2.,Wistar rats,adenovirus,vectors for,ott:271555;ncbitaxon_viruses:10535;RO_0002459,18596061,abstract
"In vineyards, kaolin application and bunch-zone leaf removal (LR) were effective in the control of leafhoppers and Lobesia botrana, but their side effects on generalist predators are still poorly understood.",leafhoppers,Lobesia botrana,predators,ott:990675;ott:283276;RO_0002439,36835695,abstract
Characterization of the Trichomonas vaginalis surface-associated AP65 and binding domain interacting with trichomonads and host cells.,Trichomonas vaginalis,trichomonads,interacting with,ott:745845;ott:1062866;RO_0002434,18158858,title
"The type host of Bobdalgleishia stephanophallus is a subspecies of the great jacamar Jacamerops aureus ridgwayi Todd, 1943, an endemic Amazonian bird distributed in northern Brazil, and the type locality is the State of Pará.",stephanophallus,Jacamerops aureus,host of,ott:4100208;ott:157836;RO_0002453,26798280,abstract
"The development of inhibitors of SagA would further contribute to controlling brucellosis by attenuating the function of T4SS, the major virulence factor of Brucella.",SagA,Brucella,contribute to,ott:697791;ott:174825;RO_0002326,34112742,abstract
Microplastic contamination in Antarctic krill and salps.,Antarctic krill,salps,contamination,ott:411348;ott:487089;RO_e000002,36998765,title
"Dogs fed on both gari diet and the rice + cyanide diet generated significant amounts of thiocyanate when compared with the controls, with the rice + cyanide group having higher plasma thiocyanate than the gari group (P less than 0.01).",Dogs,gari,fed on,ott:247333;ott:244064;RO_e000007,1878356,abstract
"Central nervous system vasculitis and vasculopathy have been reported in DIRA and PAPA patients whereas small vessel involvement affecting skin has been reported in CAPS, TRAPS, and MKD patients.",DIRA,PAPA,affecting,ott:329178;ott:5302256;RO_e000055,30560109,abstract
Here we examine whether marked geographic variation in the interaction between a predatory snail (Nucella canaliculata) and an intertidal mussel (Mytilus californianus) arises from phenotypic plasticity or fixed genetic differences among snail populations.,Nucella canaliculata,Mytilus californianus,predatory,ott:1085941;ott:1025558;RO_0002439,19967866,abstract
"Alterations in the second domain, termed the interaction domain, affect colonization and/or infection by CTX-bacteriophage without affecting pilus morphology.",bacteriophage,pilus,affecting,ncbitaxon_viruses:38018;ott:2886402;RO_e000055,10692166,abstract
"Here, we discuss the commonalities between persistent infections with herpes-, retro-, flavi-, arena-, and polyomaviruses that distinguish them from acutely infecting viral pathogens.",herpes,polyomaviruses,pathogens,ott:4660188;ncbitaxon_viruses:36362;RO_0002556,19955304,abstract
"Twenty-two pathogens were isolated from the fruiting bodies and compost of A. aegerita, and seven isolates were isolated from Pleurotus ostreatus to compare with the A. aegerita isolates, collected from Gimje, Iksan, Gunsan of Chonbuk, and Chilgok of Gyeongbuk Province in 2009.",aegerita,Pleurotus ostreatus,pathogens,ott:94082;ott:581149;RO_0002556,23956671,abstract
"To validate the model, the rotifer, specifically Brachionus rotundiformis was exposed to various concentrations of B[α]P, which is widely used PAH xenobiotic, and analyzed gene expression in response to B[α]P.",rotifer,Brachionus rotundiformis,exposed to,ott:1018360;ott:1009399;RO_e000044,30551045,abstract
Copies of the repeat are also adjacent to rainbow trout and chum salmon protamine genes.,rainbow trout,chum salmon,adjacent to,ott:165368;ott:739921;RO_e000027,3133484,abstract
"Of these, 20 presented with clinical features typical of aconitine poisoning following the ingestion of ""chuanwu"", the main root of Aconitum carmichaeli, or ""caowu"", the root of Aconitum kusnezoffii. Strict legislation controlling the use of chuanwu and caowu alone would have prevented many of the severe poisonings by CHM in Hong Kong.",Aconitum carmichaeli,Aconitum kusnezoffii,ingestion,ott:549536;ott:141633;RO_e000009,7900276,abstract
Six of the eleven grapes samples were contaminated by potentially ochratoxinogenic strains (Penicillium chrysogenum and Aspergillus carbonarius).,Penicillium chrysogenum,Aspergillus carbonarius,contaminated by,ott:226485;ott:700624;RO_e000001,11853522,abstract
This study addresses the extent to which immune traits of larvae and pupae of the moth Orgyia antiqua L. (Lepidoptera: Lymantriidae) depend on the host plant species and individual condition of the insects.,Orgyia antiqua,(Lepidoptera,depend on,ott:528536;ott:4024831;RO_0002502,20626929,abstract
"The higher trophic level of the relatively larger black-bellied storm-petrel chicks may be due to their longer stay in the nest, and relatively larger body mass gain, despite chick growth rates being similar to the smaller Wilson's storm-petrel chicks.",black-bellied storm-petrel,Wilson's storm-petrel,trophic,ott:904495;ott:656591;RO_0002438,32339838,abstract
Using a Two-Sex Life Table Tool to Calculate the Fitness of Orius strigicollis as a Predator of Pectinophora gossypiella.,Orius strigicollis,Pectinophora gossypiella,Predator of,ott:738025;ott:108952;RO_0002439,32365977,title
"Coffee plants excluded from foraging birds had significantly higher borer infestation, more borer broods, and greater berry damage than control plants.",birds,borer,infestation,ott:81461;ott:279725;RO_e000005,18616745,abstract
"This survey also suggests that the carriage rate of C. psittaci is low in raptors in Oregon wild bird rehabilitation centers, and that care must be taken in the design of PCR primers for phylum Chlamydiae such that colonization by insect endosymbionts is not mistaken for an infection by known chlamydial pathogens.",Chlamydiae,endosymbionts,pathogens,ott:5889274;ott:5248883;RO_0002556,27154318,abstract
"(26.2%), and Trueperella pyogenes (25.5%) were the most prevalent pathogens, while P. multocida (71.4%), Mycoplasma spp.",Trueperella pyogenes,Mycoplasma,pathogens,ott:396506;ott:1069988;RO_0002556,34250065,abstract
Revealing potential functions of hypothetical proteins induced by genistein in the symbiosis island of Bradyrhizobium japonicum commercial strain SEMIA 5079 (= CPAC 15).,Bradyrhizobium japonicum,SEMIA,symbiosis,ott:263896;ott:829066;RO_0002440,35513812,title
"Loma salmonae is a common gill parasite of salmonids, and essentially all species in the genus Oncorhynchus are susceptible.",Loma salmonae,Oncorhynchus,parasite of,ott:381391;ott:739931;RO_0002444,16004365,abstract
"Ophraella communa does not present evidence of genetic variation in its ability to feed and/or survive on Solidago, even though it is probably descended from a lineage that fed on Solidago or related plants, possibly as recently as 1.9 million years ago.",Ophraella communa,Solidago,fed on,ott:365344;ott:872351;RO_e000007,28567894,abstract
"Redescription of Metabronema magnum (Nematoda: Cystidicolidae), a swimbladder parasite of the carangid fish Gnathanodon speciosus off New Caledonia.",Metabronema magnum,Gnathanodon speciosus,parasite of,ott:566458;ott:390473;RO_0002444,18303771,title
"In this study, pot experiments were conducted to investigate the concurrent removal of cadmium (Cd, two levels: CdL [10 mg kg-1] and CdH [50 mg kg-1]) and trichlorfon (TCF, 100 mg kg-1) from co-contaminated soil by comparing the following remediation methods: natural remediation (NR), soil inoculated with Aspergillus sydowii (AS), soil planted with Brassica juncea (BJ), and soil planted with B. juncea and inoculated with A. sydowii (BJ-AS).",Aspergillus sydowii,Brassica juncea,contaminated,ott:840787;ott:309279;RO_e000001,31711776,abstract
"The coconut mite, Aceria guerreronis Keifer (Acari: Eriophyidae), and its phytoseiid predator, Neoseiulus baraki (Athias-Henriot) (Acari: Phytoseiidae), provide an opportunity to explore such interference because the former is a key coconut pest species that requires both predation and acaricide application for its management.",Aceria guerreronis,Neoseiulus baraki,predator,ott:238543;ott:667562;RO_0002439,25847106,abstract
This study investigated the responses of the amphipod Hyalella azteca when presented with two predator chemical cues: (i) alarm pheromones produced by conspecifics and (ii) kairomones produced by a predatory Green Sunfish (Lepomis cyanellus).,Hyalella azteca,Lepomis cyanellus,predator,ott:648347;ott:476361;RO_0002439,25200352,abstract
The Activin Branch Ligand Daw Regulates the Drosophila melanogaster Immune Response and Lipid Metabolism against the Heterorhabditis bacteriophora Serine Carboxypeptidase.,Drosophila melanogaster,Heterorhabditis bacteriophora,Regulates,ott:505714;ott:493867;RO_0002211,39063211,title
"In the first case, acute giardiasis revealed Ascaris lumbricoides infestation, and in the second case primary helminthiasis (strongyloidiasis) was revealed by lactulose, and also led to Vibrio cholera bacteremia.",Ascaris lumbricoides,Vibrio cholera,infestation,ott:345760;ott:219415;RO_e000005,20962736,abstract
