Sentence,label,passage,spans
,0,"In this study, we investigated (68)Ge-traced Si uptake by four crop species differing widely in uptake capacity for Si, including rice (Oryza sativa), barley (Hordeum vulgare), cucumber (Cucumis sativus), and tomato (Lycopersicon esculentum).","[(-1, -1)]"
,0,"On a subject level, pooled data from A. actinomycetemcomitans-positive subjects who remained healthy had higher prevalences of Streptococcus and Actinomyces species, while A. actinomycetemcomitans-positive subjects with BL had higher prevalences of Parvimonas micra, Filifactor alocis, A. actinomycetemcomitans, and Peptostreptococcus sp. human oral taxon 113 (HOT-113).","[(-1, -1)]"
,0,"Experimentally, doses of 30 mg/kg, 15 mg/kg, 7.5 mg/kg or 3.75 mg/kg of xenogeneic I-RNA extracted from lymphoid tissues of rabbits sensitized with 105,000 Xg sediments of human gastric carcinoma tissue were injected intraperitoneally into Wistar rats once a day for 30 days.","[(-1, -1)]"
,0,Immunogenicity of zona pellucida glycoprotein-3 and spermatozoa YLP(12) peptides presented on Johnson grass mosaic virus-like particles.,"[(-1, -1)]"
,0,"A cyaA gene, encoding an adenylate cyclase, was isolated from a filamentous cyanobacterium, Spirulina platensis, by functional complementation of a cya mutant of Escherichia coli, defective in adenylate cyclase activity.","[(-1, -1)]"
,0,"To help reduce the resulting confusion, we propose here a new phylogeny-based CesA nomenclature that aligns the Populus CesA gene family with the established Arabidopsis thaliana CesA family structure.","[(-1, -1)]"
,0,Quality and Consumer Acceptance of Meat from Rabbits Fed Diets in Which Soybean Oil is Replaced with Black Soldier Fly and Yellow Mealworm Fats.,"[(-1, -1)]"
,0,We investigated the transmission of the fishborne trematodes Centrocestus formosanus and Haplorchis pumilio by Melanoides tuberculata snails in Peru.,"[(-1, -1)]"
,0,Heavy pure growth of a Mannheimia species most closely aligned with the unnamed cluster V strains on the basis of 16S ribosomal RNA sequencing was detected in the lungs of both calves in association with Bovine respiratory syncytial virus infection.,"[(-1, -1)]"
,0,"At long-term administration (7 days, 10 mg/kg daily intramuscularly) lithium hydroxybutyrate prevented the influence of stimulation on the electrogram (EG) of this structure and the motor cortex but enhanced it with respect to EG of the amygdala, hippocampus, thalamus and caudate nucleus.","[(-1, -1)]"
,0,"In situ hybridisation of adult human kidney tissue and zebrafish larvae showed OCRL expression in the glomerulus, supporting a role for OCRL in glomerular function.","[(-1, -1)]"
,0,"Moreover, bacterial diversity on the carriers was significantly altered, and the enrichment of genera such as Aridibacter, Hyphomicrobium and Gemmobacter promoted denitrification processes.","[(-1, -1)]"
,0,It was shown that the antibiotics which proved active against the tularemia microbe in albino mice when studied by the rapid and routine methods were highly efficient in the treatment and prevention of experimental tularemia in rabbits and baboons (hamadryas).,"[(-1, -1)]"
,0,"Methods
Overall, 421 individual ticks in the genera Amblyomma, Haemaphysalis, and Ixodes were recorded from 28 songbird species, of which Amblyomma and Amblyomma longirostre were the most abundant tick genera and species, respectively.","[(-1, -1)]"
,0,"Antimicrobial Resistance as Risk Factor for Recurrent Bacteremia after Staphylococcus aureus, Escherichia coli, or Klebsiella spp.","[(-1, -1)]"
,0,"Flos Lonicerae, a traditional herbal medicine, has been used in China to treat some inflammatory disease.","[(-1, -1)]"
,0,"Two common species (depleted Klebsiella pneumoniae and enriched Streptococcus parasanguinis; P ≤ 0.002) and three rare species (depleted Weissella confusa, enriched Granulicatella adiacens and Erysipelotrichaceae bacterium 6_1_45; P ≤ 0.005) were associated with UA.","[(-1, -1)]"
,0,"We examined the selective inhibitory potential of rice straw on four cyanobacterial strains(toxic and non-toxic Microcystis aeruginosa, toxic Anabaena flos-aquae, and Microcystis ichthyoblabe), in comparison with inhibitory effects on three common freshwater green algae(Selenastrum capricornutum, Chlorella pyrenoidosa, and Scenedesmus obliqnus).","[(-1, -1)]"
,0,"Correlation analysis between microbiota and DEGs showed that changes in Pseudomonas, Ralstonia, Colwellia, and Cohaesibacter were positively correlated with immune-related genes such as peritrophin-1-like and mucin-2-like, and negatively correlated with caspase-1-like genes.","[(-1, -1)]"
,0,"Telavancin produced dose-dependent reduction of thigh titers of several organisms, including methicillin-susceptible Staphylococcus aureus (MSSA) and methicillin-resistant Staphylococcus aureus (MRSA), penicillin-susceptible and -resistant strains of Streptococcus pneumoniae, and vancomycin-resistant Enterococcus faecalis.","[(-1, -1)]"
,0,"Four species of Neosilba are recorded in the State of Bahia: Neosilba pendula (Bezzi), Neosilba certa (Walker), Neosilba parva (Hennig) and Neosilba glaberrima (Wiedemann).","[(-1, -1)]"
,0,"The taxonomic profiling of individual stages of remediation revealed that, biostimulation of the investigated soil favored the growth of Proteobacteria, Alphaprotobacteria, Chloroflexi, Chlorobi, and Acidobacteria groups.","[(-1, -1)]"
,0,Specific outcomes were: patient acceptability; whether a rapid nucleic acid amplification test (NAAT) for Chlamydia trachomatis/Neisseria gonorrhoeae (CT/NG) could be used as a POCT in practice; feasibility of non-NAAT POCT implementation for Trichomonas vaginalis (TV) and bacterial vaginosis (BV); impact on patient diagnosis and treatment.,"[(-1, -1)]"
,0,"In this study, three chemical actions of vetiver oil and five constituents (terpinen-4-ol, α-terpineol, valencene, vetiverol and vetivone) were characterized against Aedes aegypti, Aedes albopictus and Culex quinquefasciatus by using the high-throughput screening assay system (HITSS).","[(-1, -1)]"
,0,"To investigate the contributions of parasitism and sexual selection in explaining among-species variation in MHC diversity, we applied comparative methods and meta-analysis across 112 mammal species, including carnivores, bats, primates, rodents and ungulates.","[(-1, -1)]"
,0,We present a genome assembly from an individual male Mimas tiliae (the lime hawk-moth; Arthropoda; Insecta; Lepidoptera; Sphingidae).,"[(-1, -1)]"
,0,"Characteristics of Mycoplasma bovis, Mycoplasma arginini, and Mycoplasma californicum on immunological response of bovine synovial cells.","[(-1, -1)]"
,0,"Rainbow trout, Oncorhynchus mykiss (Walbaum), sea trout, Salmo trutta L., and Atlantic salmon, Salmo salar L., were experimentally infected with Flavobacterium psychrophilum in order to evaluate any species differences in susceptibility to the bacterium.","[(-1, -1)]"
,0,River Warnow was dominated among others by Cytophaga/Flavobacteria and Actinobacteria which are typical for organic rich waters because of their ability to degrade high molecular weight compounds.,"[(-1, -1)]"
,0,"The avian influenza A risk map for the mountain hawk-eagle showed that most regions of Japan had a low risk for avian influenza A. In contrast, the maps for the northern goshawk and peregrine falcon showed that their high-risk areas were distributed on the plains along the Sea of Japan and Pacific coast.","[(-1, -1)]"
,0,All genes are strongly expressed in syncytia induced by the beet cyst nematode Heterodera schachtii in Arabidopsis roots.,"[(-1, -1)]"
,0,"We performed a proteome analysis of S. fumaroxidans growing with propionate axenically with sulfate or fumarate, and in syntrophy with Methanospirillum hungatei, Methanobacterium formicicum or Desulfovibrio desulfuricans.","[(-1, -1)]"
,0,"The filamentous fungus Aspergillus fumigatus is the major cause of life threatening invasive aspergillosis, and its small hydrophobic asexual spores (conidia) are the major infection agent.","[(-1, -1)]"
,0,"In this review we discuss the methods and media that are most widely used for the establishment and maintenance of the following organisms in culture: Entamoeba histolytica, Giardia intestinalis, Trichomonas vaginalis, Dientamoeba fragilis, Blastocystis hominis, and Balantidium coli.","[(-1, -1)]"
,0,"Five species of these Bacillus were identified by gyrA polyphase taxonomy, including Bacillus subtilis (76% of all Bacillus), Bacillus licheniformis (9%), Bacillus amyloliquefaciens (6%), Bacillus velezensis (6%) and Bacillus mojavensi (3%), and the RAPD showed these Bacillus are no signs of stable passage.","[(-1, -1)]"
,0,"Cysts did not develop on roots of common hop (Humulus lupulus L.) and hemp (Cannabis sativa L.), but in common nettle there was an increase in nematode populations, with all plants severely stunted and yellowing, which confirmed the nematodes' pathogenicity.","[(-1, -1)]"
,0,"In addition, HF01-Y altered the composition of the gut microbiota in obese mice, significantly upregulated norank_f__Muribaculaceae, unclassified_c__Clostridia, Blautia, unclassified_o__Bacteroidales, and Rikenellaceae_RC9_gut_group, while downregulating unclassified_f__Desulfovibrionaceae, Colidextribacter, and unclassified_f__Oscillospiraceae.","[(-1, -1)]"
,0,"Here, saturated and unsaturated homologues, including the oxidized forms 5-(2'-oxo) AR and their plant metabolites, were profiled by ultrahigh-performance liquid chromatography-ion mobility separation-high-resolution mass spectrometry in 18 cultivars of einkorn, emmer, spelt, common wheat, and tritordeum, cultivated in two consecutive years under uniform agronomic conditions.","[(-1, -1)]"
,0,"We sequenced and assembled eight complete plastid genomes from three closely related pleurocarpous moss families: Amblystegium serpens, Campyliadelphus stellatus, Cratoneuron filicinum, Drepanocladus aduncus, and Leptodictyum humile (Amblystegiaceae), Calliergon sarmentosum and Warnstorfia exannulata (Calliergonaceae), and Calliergonella cuspidata (Pylaisiaceae).","[(-1, -1)]"
,0,"Triple retinal infection with human immunodeficiency virus type 1, cytomegalovirus, and herpes simplex virus type 1. Light and electron microscopy, immunohistochemistry, and in situ hybridization.","[(-1, -1)]"
,0,"The feed extract solution promoted the proliferation of Bacteroidales, Vibrio, Desulfobulbaceae, Desulfobacteraceae, Pseudoalteromonas, Paludibacter, Marinomonas, and Pseudomonas in the leaves and root of T. hemprichii, which can effectively improve the digestibility of eutrophication.","[(-1, -1)]"
,0,Repassage of prions from transgenic mice or Chinese hamsters into Syrian hamsters revealed that the original properties of the prion isolates are retained.,"[(-1, -1)]"
,0,Efficacy and pharmacokinetics of bacteriophage therapy in treatment of subclinical Staphylococcus aureus mastitis in lactating dairy cattle.,"[(-1, -1)]"
,0,"Of the 15 species examined, 8 species including Clinelymus dahuricus, Cleistogenes squarrosa, Pappophorum boreale, Spodiopogon sibiricus, Phragmites communis, Chloris virgata, Arundinella hirta, Pennisetum alopecuroides had a germination rate of over 80%, but 4 species including Echinochloa hispidula, Hemarthria compressa, Tragus berteronianus and Setaria viridis had a value of less than 10%.","[(-1, -1)]"
,0,A cDNA coding for a gene necessary for synthesis of ketocarotenoids was cloned from the alga Haematococcus pluvialis and expressed in the seed of Arabidopsis thaliana.,"[(-1, -1)]"
,0,"Soil bacterial communities were mainly composed of Proteobacteria, Chloroflexi, Actinobacteria and Firmicutes, and archaeal communities were dominated by Thaumarchaeota and unclassified Archaea.","[(-1, -1)]"
,0,"As Vannella has priority, we formally transferred Platyamoeba species into Vannella, except for the non-vannellid P. stenopodia, here renamed Stenamoeba stenopodia gen.","[(-1, -1)]"
,0,"These changes included significant increases in the relative abundance of Paracoccus and Rhodococcus, and significant decreases in that of Pseudomonas, Exiguobacterium, an unclassified genus of Pseudomonadaceae, and an unclassified genus of Enterobacteriaceae.","[(-1, -1)]"
,0,"Most frequently, this has been reported in patients infected with Plasmodium falciparum and Plasmodium vivax, while other parasitic agents are less likely to be the cause.We report a 29-year-old British Caucasian, who after returning from a business trip in Democratic Republic Congo was diagnosed with tertian malaria caused by Plasmodium ovale.During his in-patient stay, the patient suffered a splenic rupture requiring immediate surgical intervention and splenectomy.","[(-1, -1)]"
,0,"In this study, we use five SDM algorithms (independently and in ensemble) and two accuracy measures (TSS, AUC), combined with a null modelling approach, to assess the predictive performance of the models and to quantify which predictors (environmental and anthropogenic from the native and introduced regions) best explain the distribution of nine freshwater invasive species (including fish, arthropods, molluscs, amphibians and reptiles) in a large island (Great Britain), and which species characteristics affect model performance.","[(-1, -1)]"
,0,"(36.3%), Alaria alata (25.0%), Echinococcus multilocularis (26.3%) and Uncinaria stenocephala (25.0%).","[(-1, -1)]"
,0,"The prevalence in questing ticks was 18.2% for Rickettsia spp., 7.3% for CNM, 6.4% for B. burgdorferi (s.l.) and 1.4% for Babesia spp.","[(-1, -1)]"
,0,"A novel GoldNano Carb test for rapid phenotypic detection of carbapenemases, particularly OXA type, in Enterobacteriaceae, Pseudomonas aeruginosa and Acinetobacter spp.","[(-1, -1)]"
,0,"We tested our model separately on three measures of benthic macroinvertebrate assemblage condition: ratio of observed-to-expected taxonomic richness (O/E); a multimetric index (MMI); and richness of Ephemeroptera, Plecoptera, and Trichoptera taxa (EPT).","[(-1, -1)]"
,0,"Twenty-four 3- and/or 4-alkyl-substituted 1-aminonaphthalene-2-carbonitriles and their analogues were prepared and evaluated for growth-inhibiting activity against four phytopathogenic fungi: Fusarium culmorum, Alternaria brassicicola, Botrytis cinerea and Penicillium expansum.","[(-1, -1)]"
,0,"Well-known examples include coccidiosis in poultry, salmonellosis in pigs and mice, colibacillosis in pigs, necrotic enteritis in poultry, enteric septicemia of catfish, swine respiratory disease, aspergillosis in poultry and rabbits, reovirus infection in mice and Porcine Reproductive and Respiratory Syndrome Virus infection in pigs.","[(-1, -1)]"
,0,"Newcastle disease virus (NDV), an avian pathogenic virus, is one of the most promising oncolytic viruses that can replicate selectively in human cancer cells.","[(-1, -1)]"
,0,Cathetocephalus badilloi n. sp. has a soft scolex transversely positioned to the long axis of the strobila.,"[(-1, -1)]"
,0,"Bark and aerial seed pods were gathered from Cercis canadensis, follicles and stems from Asclepias syriaca, dried composite inflorescences and stems from Echinacea angustifolia, E. pallida, and E. paradoxa var.","[(-1, -1)]"
,0,"Additionally, the abundances of Chloroflexi, Dependentiae, Fusobacteriota, and Margulisbacteria were the highest in autumn and the lowest in winter.","[(-1, -1)]"
,0,"The intestinal microbiome in dogs and cats with diarrhoea as detected by a faecal polymerase chain reaction-based panel in Perth, Western Australia.","[(-1, -1)]"
,0,"However, the relative density of Escherichia coli (TRM_Escherichia) showed 9.36-fold higher on tomato than on eggplant and chili.","[(-1, -1)]"
,0,"We studied two lecithotrophic species, Gambusia affinis and Xiphophorus couchianus, where embryos feed exclusively on yolk stored in the eggs, and one matrotrophic species, Heterandria formosa, which actively transfers nutrients to embryos through a follicular placenta.","[(-1, -1)]"
,0,"The effect of high hydrostatic pressure (HHP) treatment on dried soybean, adzuki bean, and kintoki kidney bean, which are low-moisture-content cellular biological materials, was investigated from the viewpoint of water absorption.","[(-1, -1)]"
,0,Local mast cell tumor (MCT) recurrence and percentage survival were evaluated in 12 cats (21 MCT) and 54 dogs (85 MCT) subjected to surgery alone or local infiltration of deionized water as an adjunct to surgery.,"[(-1, -1)]"
,0,"Furthermore, oral administration of sulfur dioxide-free wine supplemented with resveratrol demonstrates an increase in the relative abundance of beneficial intestinal microflora, such as Turicibacter, Allobaculum, Bacteroides, and Macellibacteroides, while decreasing the Firmicutes/Bacteroidetes ratio.","[(-1, -1)]"
,0,"Usnea CO2-extract effectively inhibited the growth of several Gram-positive bacteria like Staphylococcus aureus (including methicillin-resistant strains - MRSA), Propionibacterium acnes and Corynebacterium species.","[(-1, -1)]"
,0,"We isolated endophytic fungi from the leaves of A. compressus and molecularly identified them as Fusarium parceramosum, Colletotrichum siamense, C. gigasporum, C. endophyticum, Curvularia lunata, Stagonospora bicolor, Calonectria gracilis, and Albifimbria verrucari.","[(-1, -1)]"
,0,"Illumina sequencing showed that Pseudomonas, Aeromonas, Shewanella and Thauera became dominant genera.","[(-1, -1)]"
,0,Tomato yellow leaf curl virus (TYLCV) (Geminiviridae: Begomovirus) is exclusively vectored by the whitefly Bemisia tabaci (Gennadius) (Hemiptera: Aleyrodidae).,"[(-1, -1)]"
,0,"The species is so far restricted to marinas (Horta, Faial Island; Vila Franca do Campo, São Miguel Island) and a natural coastal pool located near a secondary harbour (Lajes do Pico, Pico Island).","[(-1, -1)]"
,0,"The chemical composition of the essential oils obtained from the aerial parts of four Apiaceae species, namely Elaeosticta allioides (EA), E. polycarpa (EP), Ferula clematidifolia (FC), and Hyalolaena intermedia (HI), were determined using gas chromatography.","[(-1, -1)]"
,0,All six MAbs recognized human subtype A and B viruses as well as bovine RS virus.,"[(-1, -1)]"
,0,"Among the 17 NTDs recognized by the World Health Organization (WHO), protozoal infections caused by Plasmodium, Entamoeba, Leishmania, and Trypanosoma are particularly prominent and pose significant public health.","[(-1, -1)]"
,0,"The shikimate pathway is an attractive target for herbicides and antimicrobial agents because it is essential in algae, higher plants, bacteria and fungi, but absent from mammals.","[(-1, -1)]"
,0,"We document an extensive percussive technology used to process termite mounds of Cubitermes sp. and Thoracotermes macrothorax and hard-shelled fruits such as Strychnos, along with evidence of the pounding open of African giant snails and tortoises.","[(-1, -1)]"
,0,"Khan was conducted at the Zoology lab of Ghazi University on four tree plants, i.e., neem (Azadirachta indica), mango (Mangifera indica), guava (Psidium guajava), and phalsa (Grewia asiatica).","[(-1, -1)]"
,0,The zeta potentials of Cryptosporidium oocysts in different water samples were more negative than Chlorella.,"[(-1, -1)]"
,0,"Rumen fluke from imported and home-bred cattle and sheep in Scotland belonged to the species Calicophoron daubneyi, rather than Paramphistomum cervi, the species presumed to be most common in Great Britain.","[(-1, -1)]"
,0,"OBJECTIVE
Roles for Chlamydia trachomatis and Neisseria gonorrhoeae infections in pelvic inflammatory disease pathogenesis are well delineated; however, the etiologic contributions of herpes simplex virus type 2 (HSV-2) and Trichomonas vaginalis have been underexplored.","[(-1, -1)]"
,0,"The ELISA has a working range from 10 to 500 pmol l-1, and can be applied to plasma samples from humans, dogs, pigs, minipigs, cats, rabbits, and rats.","[(-1, -1)]"
,0,"An analysis is made of: physico-chemical indicators (water turbidity, residual chlorine, some products of the bacterial metabolism in the intestine), bacterial indicators (total and faecal coliforms, Escherichia coli, faecal streptococci, clostridia and other intestinal anaerobic bacteria, saprophytic mycobacteria, Pseudomonas aeruginosa) and some bacteriophages.","[(-1, -1)]"
,0,"RESULTS
Metagenomic analysis identified 'm3' from a Lachnoclostridium sp., Fusobacterium nucleatum (Fn) and Clostridium hathewayi (Ch) to be significantly enriched in adenoma.","[(-1, -1)]"
,0,"It is shown by tracer experiments with DL-[2-3H,5-14C]- and DL-[(RS)-5-3H,5-14C]rnithine, that the metabolic conversion of ornithine into proline, in three plant species (Nicotiana tabacum, Datura stramonium, and Lupinus angustifolius), takes place with maintenance of the delta-hydrogen atoms but with loss of the alpha-hydrogen atom.","[(-1, -1)]"
,0,"By using the techniques of tissue culture, bio-assay and laboratory analysis, this paper studied the effects of the allelopathic chemicals from pumpkin (Cucurbita moschata) roots on the seed germination and seedling growth of pumpkin, wheat (Triticum aestivum), and radish (Raphanus sativus).","[(-1, -1)]"
,0,The highest cellulases production from Daldinia caldariorum 263 (D-263) was found among Daldinia eschscholzii and Daldinia childiae.,"[(-1, -1)]"
,0,"Moreover, P. altmani completed its life cycle in four seagulls, Chroicocephalus maculipennis, Leucopheus pipixcan, Larus modestus and L. dominicanus, while P. antarcticus, on the other hand, completed its life cycle in the kelp gull L. dominicanus.","[(-1, -1)]"
,0,"Additionally, Fe3O4-NPF displayed excellent antimicrobial activity against Bacillus cereus, Salmonella enteritidis, and Vibrio cholerae with zones of inhibition of 13, 15, and 25 mm, respectively.","[(-1, -1)]"
,0,"A total of 16 strains of influenza A virus isolated in 1965-66 from quail, ducks, turkeys, pheasants and chickens bred in poultry farms situated in Pavia and surrounding districts in northern Italy were investigated from the point of view of antigenic grouping by the complement-fixation test.All strains were antigenically related but not identical to each other.","[(-1, -1)]"
,0,"RESULTS
Three species were represented in the collection: Citrobacter koseri (one isolate), Escherichia coli (one isolate) and Klebsiella pneumoniae (16 isolates).","[(-1, -1)]"
,0,"These species included Streptococcus pneumoniae, Staphylococcus aureus, Haemophilus influenzae, Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Acinetobacter baumannii, Mycoplasma pneumoniae, Enterococcus faecalis, Enterococcus faecium, Enterobacter cloacae, Stenotrophomonas maltophilia, Burkholderia cepacia, Legionella pneumophila and Chlamydia pneumoniae.","[(-1, -1)]"
,0,"METHODS
Sunflower (Helianthus annuus), beech (Fagus sylvatica), arabidopsis (Arabidopsis thaliana) and garden cress (Lepidium sativum) were grown under contrasting environmental conditions that affected Ci while Ca was kept constant.","[(-1, -1)]"
,0,"Diverse parasites such as Toxoplasma gondii, Leishmania donovani, Leishmania major, and Trichuris muris have been reported to activate NF-κB signaling cascades, and a number of distinct parasite-derived molecules may actively interfere with the pathways that lead to NF-κB activation.","[(-1, -1)]"
,0,"Clinical symptoms include not only coma, dysarthria, and astasia-abasia as initial symptom but also dementia as clinical outcomes.","[(-1, -1)]"
,0,"The zona glomerulosa, zona fasciculata, zona reticularis, and medulla were separated from bovine adrenal glands and cytochromes P-450 and related enzymes in each zone were investigated immunochemically by Western blotting using antisera from chickens or rabbits against cytochromes P-450scc, P-450(11)beta, P-450s21, and b5, NADH-cytochrome b5 reductase, NADPH-cytochrome P-450 reductase, NADPH-adrenodoxin reductase, and adrenodoxin.","[(-1, -1)]"
,0,The genus Meira currently contains three recently described species of mite-associated basidiomycete yeasts from Israel and Japan and is placed in the Exobasidiomycetes (Ustilaginomycotina) Incertae sedis.,"[(-1, -1)]"
,0,"The supercritical CO₂ and ethanol extracts of Illicium verum showed substantial antibacterial activity against 67 clinical drug-resistant isolates, including 27 Acinetobacter baumannii, 20 Pseudomonas aeruginosa, and 20 methicillin-resistant Staphylococcus aureus.","[(-1, -1)]"
,0,Here a rodent model of human infection with Opisthorchis viverrini was utilized to further investigate relationships of apparent co-infections with O. viverrini and H. pylori.,"[(-1, -1)]"
,0,Frequent emergence of low pathogenic avian influenza H3N2 viruses in the wild birds has caused concern for human health.,"[(-1, -1)]"
,0,"INS is ubiquitously present not only in humans but also in unicellular eukaryotes, fungi, worms, and Drosophila.","[(-1, -1)]"
,0,"In conclusion, HiCrome Bacillus agar in combination with simple microbiological tests was highly useful for rapid and reliable identification of most Bacillus, Brevibacillus, Lysinibacillus and Paenibacillus species commonly found in honey samples facilitating isolation from polymicrobial honey.","[(-1, -1)]"
,0,"Finally, the inhibiting capacities of two strains (one Leuconostoc gelidum strain and one Lactococcus piscium strain) were tested against three pathogenic bacteria (Vibrio cholerae, Listeria monocytogenes, and Staphylococcus aureus) by challenge tests in shrimp.","[(-1, -1)]"
,0,"Early vat bacterial biofilms developed spontaneously through contact with whey have been characterized on seven wood types (Castanea sativa Miller, Cedrus libani, A. Rich., Prunus avium L., Fraxinus ornus L., Juglans regia L., Pinus nigra J.F.","[(-1, -1)]"
,0,"Transcriptional Inhibition of Sp-IAG by Crustacean Female Sex Hormone in the Mud Crab, Scylla paramamosain.","[(-1, -1)]"
,0,"For the current study WBs were produced with strains PKa2 (Borrelia burgdorferi sensu stricto), PKo (Borrelia afzelii), and PBi (Borrelia garinii).","[(-1, -1)]"
,0,"The erythrocytes from dogs with Babesia canis (group 3), concurrent hookworm and B canis (group 4) and Ehrlichia canis infections (group 5) had minimum haemolysis in 0.75 per cent NaCl and maximum haemolysis at between 0.20 per cent and 0.35 per cent NaCl solutions.","[(-1, -1)]"
,0,This highlights the potential role of dogs and cats as a reservoir of resistant Klebsiella spp.,"[(-1, -1)]"
,0,"Seasonality was demonstrated for infections, mostly bloodstream infections (BSIs), caused by Acinetobacter spp., Escherichia coli, Enterobacter cloacae, Klebsiella spp., and Pseudomonas aeruginosa, with higher rates of infection during the summer months in North America, Europe, the Middle East, Australia, and Asia.","[(-1, -1)]"
,0,"We identified the organic volatile compounds produced by six cacao endophytic bacteria (CEB) strains (Bacillus amyloliquefaciens CFFSUR-B35, Bacillus megaterium CFFSUR-B32, Bacillus muralis CFFSUR-B39, Bacillus pumilus CFFSUR-B34, Bacillus subtilis CFFSUR-B31, and Novosphingobium lindaniclasticum CFFSUR-B36).","[(-1, -1)]"
,0,"In comparison with solid wood and the untreated wood-HDPE composites, 3% CCC-treated wood-HDPE composites significantly improved the decay resistance against white rot fungus Trametes versicolor and brown rot fungus Gloeophyllum trabeum.","[(-1, -1)]"
,0,"Interestingly, we also observed a significantly lower GK expression in common carp (a glucose-tolerant fish) than in rainbow trout and gilthead seabream, which are generally considered as glucose intolerant.","[(-1, -1)]"
,0,The essentiality of alpha-2-macroglobulin in human salivary innate immunity against new H1N1 swine origin influenza A virus.,"[(-1, -1)]"
,0,"In the C. lasiocarpa marsh, archaeal family Methanobacteriaceae, Rice Cluster II, and Methanosaetaceae co-dominated in the bulk soil, while Methanobacteriaceae was the exclusively dominant methanogen in the rhizosphere soil and roots.","[(-1, -1)]"
,0,"Selected aspects of helminth infections Schistosoma sp., Ascaris lumbricoides, Strongyloides stercoralis in individuals diagnosed with human immunodeficiency virus (HIV) infection","[(-1, -1)]"
,0,"The work shows the ability of cultured Basidiomycetes of different taxonomic groups-Lentinus edodes, Pleurotus ostreatus, Ganoderma lucidum, and Grifola frondosa-to recover gold, silver, selenium, and silicon, to elemental state with nanoparticles formation.","[(-1, -1)]"
,0,"Wild and domestic carnivores are final hosts, while rodents and rabbits are primarily intermediate hosts, although many other mammals may harbour the larval stage, Cysticercus longicollis.","[(-1, -1)]"
,0,"BACKGROUND
Pneumocystis jirovecii, formerly known as P. carinii, is an opportunistic fungus causing Pneumocystis carinii pneumonia especially in immunocompromised patients.","[(-1, -1)]"
,0,"We did a systematic review (PROSPERO CRD42019157473; Jan 1, 2000, to May 22, 2020) adhering to PRISMA guidelines, to identify studies on vaccine-preventable disease outbreaks (measles, mumps, rubella, diphtheria, pertussis, polio, hepatitis A, varicella, Neisseria meningitidis, and Haemophilus influenzae) involving migrants residing in the EU/EEA and Switzerland.","[(-1, -1)]"
,0,"Adenovirus hemorrhagic disease affects primarily mule deer (Odocoileus hemionus), white-tailed deer (Odocoileus virginianus), Rocky Mountain elk (Cervus canadensis nelsoni), and moose (Alces alces) in their first year of life.","[(-1, -1)]"
,0,"These extracts were screened using cell-based assays against Plasmodium falciparum (Pf), Entamoeba histolytica (Eh), Leishmania donovani (Ld), Trypanosoma brucei rhodesiense (Tbr), and Trypanosoma cruzi (Tc).","[(-1, -1)]"
,0,"Results
2 weeks after treatment, the contents of Bifidobacterium, Bacteroides, and Lactobacillus in the intestinal tract of Group A decreased, while the amounts of Enterococcus and Enterobacter increased.","[(-1, -1)]"
,0,The applicability of this approach to biological data is also illustrated by successfully mapping the behavior of cilia in the alga Chlamydomonas onto the coarse-grained model.,"[(-1, -1)]"
,0,"Escherichia coli, Salmonella typhimurium, bacteriophage MS-2 and poliovirus were added to the waters collected from the wetlands and controls.","[(-1, -1)]"
,0,"The main fungal species verified in this equipment belonged to the genera Aspergillus spp., Fusarium spp., Candida spp., and Rhodotorula spp.","[(-1, -1)]"
,0,"Previous records of Zammara calochroma Walker, 1858a, Dorisiana semilata (Walker, 1850), Carineta bilineosa Walker, 1858b, Carineta fasciculata (Germar, 1821), and Selymbria stigmatica (Germar, 1834) are considered to be misidentifications of Dorisiana metcalfi Sanborn Heath, 2014 (= Cicada viridis Olivier, 1790), C. maculosa Torres, 1848, C. pilifera Walker, 1858a, and S. ecuadorensis Sanborn, 2019a, respectively, so that Z. calochroma, D. semilata, C. bilineosa, C. fasciculata, and S. stigmatica are removed from the cicada fauna of Ecuador.","[(-1, -1)]"
,0,"Anaerobes, mainly Clostridium perfringens, Bacteroides fragilis and Bacteroides oralis, were only recovered on enrichment media and were isolated more frequently from the right lung than the left.","[(-1, -1)]"
,0,"Three edible mealworm species (Tenebrio molitor, Zophobas atratus and Alphitobius diaperinus) subjected to processing and in vitro digestion were analysed for IgE cross-reactivity.","[(-1, -1)]"
,0,The most common pathogen was Streptococcus pneumoniae (43.9%) followed by Mycoplasma pneumoniae (19.4%); a low percentage were Proteus spp.,"[(-1, -1)]"
,0,"The sphyranurid Sphyranura, ectoparasitic on the external gills of the mud puppy Necturus, resembles the two-sucker larva of P. integerrimum in possessing a single pair of haptorial suckers in place of the 6 suckers of adult polystomes, and is probably a neotenic parasite associated with a neotenic host.","[(-1, -1)]"
,0,"Dinoflagellates were represented by the highest species number (77 OTUs comprising 31.8% of protist species), with dominant genera Gyrodinium and Heterocapsa.","[(-1, -1)]"
,0,Genetic transformation of cotyledon explants of cowpea (Vigna unguiculata L. Walp) using Agrobacterium tumefaciens.,"[(-1, -1)]"
,0,"OBJECTIVE
To evaluate the safety and the synergistic effects of tea tree, lavender, eucalyptus and tangerine essential oils in combination on the skin using in vitro, ex vivo and clinical studies.","[(-1, -1)]"
